isodate,offer,salary,contract_type,start_hour,end_hour,hours_worked,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_worked,state,municipality,scholarship,experience,languages
2020-08-06,electromecanico,12000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Carrera técnica,6m - 1 año,No es requisito
2020-08-06,ayudante general,6536,Contrato por tiempo indeterminado,700,1800,11.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,materialista,8773,Contrato por tiempo indeterminado,700,1800,11.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,chofer,6000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,1,0,6,Tamaulipas,Nuevo Laredo,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,clasificador arancelario,10000,Contrato por tiempo determinado,900,600,21.0,1,1,1,1,1,0,0,5,Tamaulipas,Nuevo Laredo,Licenciatura,6m - 1 año,No es requisito
2020-08-06,auxiliar limpieza,5560,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Tamaulipas,Nuevo Laredo,Primaria,No especificada,No es requisito
2020-08-06,tecnico  maquinas,6896,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Tamaulipas,Nuevo Laredo,Secundaria/sec. técnica,2 - 3 años,No es requisito
2020-08-06,gestor contenedores,7000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Tlaxcala,Huamantla,Licenciatura,1 - 2 años,No es requisito
2020-08-06,contador general trafico y embarques,13000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Tlaxcala,Atlangatepec,Licenciatura,3 - 4 años,No es requisito
2020-08-06,operador transporte personal,9420,Contrato por tiempo indeterminado,500,1600,11.0,1,1,1,1,1,1,1,7,Tamaulipas,Nuevo Laredo,Primaria,1 - 2 años,No es requisito
2020-08-06,carnicero,6000,Contrato por tiempo indeterminado,700,1800,11.0,1,1,1,1,1,1,0,6,Tamaulipas,Nuevo Laredo,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,cajero,5560,Contrato por tiempo indeterminado,700,1800,11.0,1,1,1,1,1,1,0,6,Tamaulipas,Nuevo Laredo,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,inspector calidad,5840,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,chofer,7200,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Iztapalapa,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,lider materiales,5840,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,ingeniero industrial,6000,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,0,6,Tamaulipas,Victoria,Licenciatura,No especificada,No es requisito
2020-08-06,ayudante cocina,6000,Contrato por tiempo indeterminado,700,1500,8.0,1,0,1,1,1,1,1,6,Nuevo León,San Pedro Garza García,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,cajero,5700,Contrato por tiempo indeterminado,900,1700,8.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,chofer repartidor,6500,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-06,diseñador grafico,13000,Contrato por tiempo determinado,900,1700,8.0,1,1,1,1,1,1,0,6,Quintana Roo,Benito Juárez,Licenciatura,No especificada,Inglés-Avanzado Se requiere una certificación del idioma
2020-08-06,auxiliar areas publicas,6200,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,promotor comisionista creditos,10000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,1,0,6,Tamaulipas,Victoria,Licenciatura,No especificada,No es requisito
2020-08-06,mesero,3696,Contrato por tiempo indeterminado,900,1700,8.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,cajero,5700,Contrato por tiempo indeterminado,900,1700,8.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,asesor virtual comisionista,5000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,1,0,6,Tamaulipas,Victoria,Licenciatura,No especificada,No es requisito
2020-08-06,asesor financiero,10000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,1,0,6,Tamaulipas,Victoria,Licenciatura,No especificada,No es requisito
2020-08-06,guardia seguridad privada,8571,Contrato por tiempo indeterminado,700,700,24.0,1,1,1,1,1,0,1,6,Baja California,Tijuana,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,ayudante albañil,7200,Contrato por tiempo determinado,800,1800,10.0,1,1,1,1,1,1,0,6,Nuevo León,Apodaca,Primaria,6m - 1 año,No es requisito
2020-08-06,asesor financiero,4000,Contrato por tiempo indeterminado,800,1600,8.0,1,1,1,1,1,0,0,5,Tamaulipas,Victoria,Licenciatura,6m - 1 año,No es requisito
2020-08-07,montacarguista,8000,Contrato por tiempo indeterminado,800,1600,8.0,1,1,1,1,1,1,0,6,Aguascalientes,Aguascalientes,Secundaria/sec. técnica,2 - 3 años,No es requisito
2020-08-07,almacenista montacarguista,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Aguascalientes,Aguascalientes,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-07,auxiliar almacen tienda venta materiales para la construccion,4500,Contrato por tiempo indeterminado,700,1700,10.0,1,1,1,1,1,1,1,7,Chiapas,Palenque,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-07,supervisor produccion y calidad,10000,Contrato por tiempo determinado,700,1800,11.0,1,1,1,1,1,1,0,6,Chiapas,Palenque,Licenciatura,2 - 3 años,Inglés-Básico
2020-08-07,tecnico programador cnc,5500,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Profesional técnico,No especificada,No es requisito
2020-08-07,auxiliar impresion globos,4000,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Primaria,No especificada,No es requisito
2020-08-07,auxiliar cafeteria,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,0,1,1,1,1,1,6,Jalisco,Zapopan,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-07,tecnico refrigeracion,9000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Profesional técnico,1 - 2 años,No es requisito
2020-08-07,operador produccion empaque productos  plasticos,8470,Contrato por tiempo determinado,600,1400,8.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,operador produccion colchones,5077,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,operador produccion batas,5500,Contrato por tiempo indeterminado,1400,2200,8.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Primaria,6m - 1 año,No es requisito
2020-08-07,auxiliar general carga y descarga,4800,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,1,7,Jalisco,Guadalajara,Primaria,No especificada,No es requisito
2020-08-07,auxiliar produccion empaque,5000,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Primaria,6m - 1 año,No es requisito
2020-08-07,mecanico motos,7000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Jalisco,Zapopan,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,pintor motos,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Jalisco,Zapopan,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,chofer torton rabon,8000,Contrato por tiempo indeterminado,700,1900,12.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Primaria,6m - 1 año,No es requisito
2020-08-07,chofer trailer full,8900,Contrato por tiempo indeterminado,700,1900,12.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Primaria,6m - 1 año,No es requisito
2020-08-07,auxiliar almacen abarrotera,6500,Contrato por tiempo indeterminado,600,1500,9.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Primaria,No especificada,No es requisito
2020-08-07,gerente sucursal,15000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Licenciatura,2 - 3 años,No es requisito
2020-08-07,auxiliar atencion al cliente,6000,Contrato por tiempo determinado,800,1800,10.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Profesional técnico,No especificada,No es requisito
2020-08-07,promotor ventas,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,supervisor ventas,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-07,auxiliar almacen,6500,Contrato por tiempo determinado,900,1900,10.0,1,1,1,1,1,0,0,5,Nuevo León,Monterrey,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-07,soporte tecnico,7000,Contrato por tiempo indeterminado,800,1900,11.0,0,1,1,1,1,0,1,5,Puebla,Puebla,T. superior universitario,1 - 2 años,No es requisito
